POSTE,RR
1014002,1413.8
1034004,1179.9
1064001,1182.6
1071001,1177.9
1072001,1042.5
1089001,1042.1
1143002,1201.1
1185006,1819.2
1200002,1355.4
1235001,901.0
1247003,2355.5
1269001,1561.5
1367002,985.8
1384003,1096.3
1414001,1596.0
2037002,740.9
2058001,809.8
2094001,721.0
2110002,758.1
2173002,762.3
2320001,756.4
2321002,1033.3
2346001,857.7
2381001,1168.6
2471001,728.1
2585001,806.3
2705001,885.2
2738001,772.6
3036002,725.2
3059001,755.1
3060001,736.1
3061001,662.7
3074001,765.9
3100001,825.5
3106002,899.4
3108001,794.7
3114001,768.5
3125001,1427.6
3130002,786.2
3155003,646.4
3162001,727.8
3180001,716.9
3185007,607.8
3204001,842.0
3226001,717.5
3240001,902.9
3248001,1468.6
3285001,673.9
3310001,820.0
3321001,739.6
4006005,1184.7
4006400,180.2
4019001,747.4
4019404,121.2
4022001,729.8
4023001,1005.2
4024004,573.6
4039001,981.9
4041001,677.1
4049001,602.8
4068001,626.8
4070009,857.8
4088001,693.1
4096002,769.7
4115001,1148.2
4126001,1066.1
4134002,733.4
4136001,808.7
4184001,814.9
4205001,1123.9
4209005,787.1
4219001,1056.9
4222001,824.2
4230001,641.3
5001001,1149.8
5001400,103.0
5004001,1193.8
5007001,1184.1
5007003,1306.5
5026001,1113.9
5026400,1104.4
5027001,771.7
5032002,1681.0
5038001,662.1
5046001,1000.4
5055001,981.9
5061009,1017.2
5061400,8.8
5063001,1333.1
5063410,0.1
5064001,1517.2
5064403,1518.6
5070001,787.0
5070003,709.0
5079001,1133.0
5079400,302.8
5085403,236.0
5090002,1325.4
5093001,954.8
5098001,993.9
5098402,123.0
5101001,1053.2
5101400,929.1
5110001,1148.9
5110400,175.4
5114402,196.6
5119402,66.0
5120002,1172.0
5126001,709.1
5127001,902.5
5132001,1296.9
5133400,186.2
5136002,990.0
5139002,1200.8
5139006,1473.4
5142001,1214.2
5145002,1245.8
5157001,1073.4
5166001,844.0
5170001,775.0
5179001,902.7
5181002,1145.5
5181400,150.4
5182001,1545.9
5183001,865.1
6004002,378.0
6004004,514.6
6004009,495.3
6005001,726.0
6016001,948.5
6023004,722.2
6029001,439.2
6033002,469.8
6037002,948.4
6038001,524.6
6050002,879.0
6059003,510.2
6071001,918.1
6073005,1377.4
6073405,161.6
6074005,722.8
6075007,609.3
6077006,864.8000000000001
6079002,436.7
6081001,825.7
6083005,480.7
6086001,825.7
6088001,403.3
6088007,503.5
6090002,524.8
6091003,589.6
6094002,833.9
6094400,49.1
6099004,590.2
6102001,704.7
6103002,629.0
6118002,590.2
6120004,949.0
6120400,21.4
6125001,1184.5
6136005,619.8000000000001
6152002,436.2
6163001,893.5
6163007,784.1
7005001,763.9
7010001,717.6
7011002,1227.8
7019005,910.9
7025001,1275.3
7032002,1135.2
7033001,638.8
7064001,895.4
7066001,884.3
7068001,1134.3
7075001,1042.2
7096001,1088.5
7099001,747.3
7101001,706.1
7105001,961.7
7105003,808.4
7117001,795.2
7117002,857.4
7119001,865.0
7128001,952.6999999999999
7129001,915.7
7131001,869.1
7144001,1389.6
7153001,1317.5
7154005,938.9
7159001,852.5
7161001,1154.0
7161002,1157.7
7168001,748.9
7172002,754.4
7186001,833.3000000000001
7187001,1120.5
7202002,1179.6
7204008,816.4
7232001,905.8
7240001,814.2
7261001,863.3
7265003,783.9
7279001,572.1
7286002,1258.5
7301002,965.2
7315004,1268.8
7330004,670.3
7331001,1160.1
7334004,869.3
7338001,1081.1
7347001,834.8
8046001,1004.9
8089003,990.4
8105005,1160.6
8116001,1252.1
8145001,1140.4
8207001,865.3
8239001,819.7
8244001,1226.0
8248002,1259.5
8254002,1265.4
8255001,1058.7
8296002,792.8
8353001,878.0
8367002,1428.4
8401001,787.0
8419001,1239.8
8420002,1384.9
9023002,772.9
9023400,269.9
9023800,652.7
9024004,1056.6
9027001,1176.5
9029400,116.5
9030010,715.3
9030015,204.8
9047001,1004.3
9062002,299.09999999999997
9070400,173.3
9094001,941.1
9099001,976.9
9135400,52.8
9161003,801.8
9181003,834.9
9193400,35.9
9199002,723.8
9206400,233.0
9220003,447.3
9225005,831.6
9289001,996.1
9290400,1256.1
9301001,1076.5
9328001,848.2
10002001,930.8
10021001,868.3000000000001
10030001,702.6
10042001,939.7
10057001,767.7
10070001,871.2
10099002,888.7
10119001,878.3
10130001,889.9
10166002,868.5
10228002,844.8
10238001,926.1
10241001,866.7
10261001,894.1
10323001,810.8
10350001,770.8
10372001,870.5
10401001,997.7
10419001,883.1
11004001,591.8
11012001,340.6
11015001,652.8
11016003,548.9
11028001,951.0
11069001,606.3
11076001,694.7
11081003,643.0
11124003,326.7
11136001,665.1
11144001,221.0
11159002,734.6
11168001,610.1
11170001,271.0
11181002,897.8
11185001,426.0
11202001,215.4
11203004,361.4
11206003,604.2
11221004,1190.6
11253001,830.2
11260002,595.6
11262005,328.4
11266001,208.9
11412001,821.9
12005001,1523.9
12011001,1079.9
